Gene,Main location,Other location,Expression type,Reliability
ENSG00000139684,Golgi apparatus,Nucleus;Cytoplasm,Staining,Supportive
ENSG00000139718,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000139719,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000139722,Nucleus but not nucleoli,Centrosome,Staining,Non-supportive
ENSG00000139734,,,Staining,Uncertain
ENSG00000139737,Nucleus but not nucleoli;Cytoplasm,Cytoskeleton (Intermediate filaments),Staining,Uncertain
ENSG00000139746,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000139780,Cytoplasm,Focal Adhesions,Staining,Uncertain
ENSG00000139797,Plasma membrane,,Staining,Uncertain
ENSG00000139826,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000139899,Nucleus,,Staining,Non-supportive
ENSG00000139914,Centrosome,Nucleus but not nucleoli;Cytoplasm,Staining,Non-supportive
ENSG00000139915,Cytoplasm,,Staining,Uncertain
ENSG00000139921,Endoplasmic reticulum,,Staining,Supportive
ENSG00000139926,Mitochondria,,Staining,Supportive
ENSG00000139971,,,Staining,Uncertain
ENSG00000139973,,,Staining,Uncertain
ENSG00000139974,Cytoskeleton (Microtubules);Cell Junctions,Nucleoli;Plasma membrane,Staining,Uncertain
ENSG00000139998,Cytoplasm;Centrosome,,Staining,Uncertain
ENSG00000140006,Cytoplasm;Cytoskeleton (Intermediate filaments),Aggresome,Staining,Uncertain
ENSG00000140015,Vesicles,,Staining,Uncertain
ENSG00000140022,Nucleoli;Cytoplasm,,Staining,Supportive
ENSG00000140043,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000140067,Nucleoli,Vesicles,Staining,Uncertain
ENSG00000140092,Cytoplasm,,APE,Medium
ENSG00000140153,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000140199,Cytoplasm;Vesicles,,Staining,Uncertain
ENSG00000140254,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000140259,Nucleus but not nucleoli;Plasma membrane,Cytoplasm,Staining,Uncertain
ENSG00000140263,Cytoplasm,,Staining,Non-supportive
ENSG00000140280,Mitochondria,Nucleus,Staining,Uncertain
ENSG00000140284,Nucleus but not nucleoli,Cytoplasm;Mitochondria,Staining,Non-supportive
ENSG00000140285,Nucleus;Nucleoli,,Staining,Uncertain
ENSG00000140297,Cytoplasm,Nucleoli,Staining,Uncertain
ENSG00000140299,Nucleoli,Plasma membrane;Cytoplasm;Golgi apparatus,Staining,Uncertain
ENSG00000140320,Vesicles,Plasma membrane,Staining,Non-supportive
ENSG00000140326,Plasma membrane;Cytoplasm,,Staining,Uncertain
ENSG00000140368,,,Staining,Uncertain
ENSG00000140374,Mitochondria,,APE,High
ENSG00000140382,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000140391,Nucleus but not nucleoli;Golgi apparatus,,Staining,Uncertain
ENSG00000140395,Nucleus but not nucleoli;Cytoplasm,,APE,High
ENSG00000140400,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000140416,Cytoplasm,Cytoskeleton (Actin filaments),Staining,Supportive
ENSG00000140443,Vesicles,,Staining,Uncertain
ENSG00000140450,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000140459,Cytoplasm,,Staining,Non-supportive
ENSG00000140463,Cytoplasm,,Staining,Supportive
ENSG00000140464,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000140471,Nucleus;Cytoplasm,Plasma membrane,Staining,Uncertain
ENSG00000140478,,,APE,N/A
ENSG00000140479,,,Staining,Uncertain
ENSG00000140481,Nucleus,Cytoplasm,Staining,Uncertain
ENSG00000140497,Golgi apparatus;Vesicles,Nucleus but not nucleoli,APE,Medium
ENSG00000140511,Plasma membrane;Cytoplasm,,Staining,Uncertain
ENSG00000140525,Nucleus;Plasma membrane,,Staining,Supportive
ENSG00000140545,Cytoplasm,Golgi apparatus,Staining,Uncertain
ENSG00000140548,Vesicles,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000140575,Nucleus but not nucleoli;Plasma membrane,Cytoplasm,Staining,Supportive
ENSG00000140577,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000140600,Cytoplasm,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000140623,Cytoskeleton (Microtubules),,Staining,Supportive
