Gene,Main location,Other location,Expression type,Reliability
ENSG00000109519,Mitochondria,,Staining,Supportive
ENSG00000109576,Plasma membrane,Vesicles,Staining,Uncertain
ENSG00000109625,Cytoplasm,Nucleus but not nucleoli,APE,Low
ENSG00000109654,Centrosome,,APE,Low
ENSG00000109680,Nucleus but not nucleoli;Nuclear membrane,,Staining,Uncertain
ENSG00000109684,Vesicles,Nucleus but not nucleoli,APE,Low
ENSG00000109685,Nucleus,Nucleoli;Nuclear membrane,APE,Medium
ENSG00000109686,Nucleus but not nucleoli,Golgi apparatus,Staining,Supportive
ENSG00000109762,Cytoplasm,,Staining,Uncertain
ENSG00000109771,,,APE,N/A
ENSG00000109775,Nucleus but not nucleoli;Cytoplasm,,APE,Low
ENSG00000109790,Mitochondria,Plasma membrane;Cytoplasm,Staining,Non-supportive
ENSG00000109805,Cytoplasm,Cytoskeleton (Actin filaments);Centrosome,Staining,Supportive
ENSG00000109814,Nucleus but not nucleoli;Cytoskeleton (Actin filaments),,APE,Very low
ENSG00000109832,Cytoskeleton (Intermediate filaments),,Staining,Uncertain
ENSG00000109846,Cytoplasm,,Staining,Uncertain
ENSG00000109851,Nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000109854,Cytoplasm,,Staining,Supportive
ENSG00000109881,Nucleoli;Nuclear membrane,Nucleus,Staining,Uncertain
ENSG00000109919,Mitochondria,,Staining,Supportive
ENSG00000109927,Centrosome,,Staining,Uncertain
ENSG00000109944,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000109956,Vesicles,,Staining,Non-supportive
ENSG00000110002,Nucleus,,APE,High
ENSG00000110013,Vesicles,Nucleus but not nucleoli;Cytoplasm,APE,Low
ENSG00000110025,Nucleoli;Cytoplasm,,Staining,Supportive
ENSG00000110046,Cytoplasm,Nucleus,Staining,Uncertain
ENSG00000110060,Cytoplasm,Nucleus,Staining,Uncertain
ENSG00000110063,Nucleus but not nucleoli,Mitochondria,Staining,Supportive
ENSG00000110077,Nucleus but not nucleoli;Vesicles,Cytoplasm,Staining,Uncertain
ENSG00000110079,Plasma membrane,,Staining,Uncertain
ENSG00000110090,Mitochondria,,Staining,Supportive
ENSG00000110104,Nucleoli,Nucleus,APE,High
ENSG00000110108,Nuclear membrane,Nucleus but not nucleoli;Cytoplasm,Staining,Supportive
ENSG00000110148,Nucleus but not nucleoli,Cytoplasm,Staining,Non-supportive
ENSG00000110172,Cytoplasm,,Staining,Uncertain
ENSG00000110200,Nucleus but not nucleoli,Vesicles,Staining,Uncertain
ENSG00000110218,Plasma membrane,,Staining,Supportive
ENSG00000110237,Cytoplasm,,Staining,Uncertain
ENSG00000110244,Cytoplasm,Centrosome,APE,Medium
ENSG00000110274,Nucleus but not nucleoli;Centrosome,Cytoplasm,Staining,Supportive
ENSG00000110315,Cytoskeleton (Microtubules),Nucleus but not nucleoli,Staining,Uncertain
ENSG00000110318,Nucleus but not nucleoli;Cytoplasm,,APE,Very low
ENSG00000110321,Cytoplasm,Nucleus but not nucleoli,APE,Low
ENSG00000110328,Mitochondria,,Staining,Non-supportive
ENSG00000110330,Nucleoli,,Staining,Non-supportive
ENSG00000110367,Nucleus,,Staining,Non-supportive
ENSG00000110395,Cytoplasm,,Staining,Supportive
ENSG00000110400,Nucleus,,APE,Low
ENSG00000110422,Nucleus;Cytoplasm,,Staining,Supportive
ENSG00000110427,Nucleus but not nucleoli;Vesicles,,Staining,Uncertain
ENSG00000110435,Nucleus;Plasma membrane,Mitochondria,APE,Low
ENSG00000110442,Nucleus,Cytoplasm;Golgi apparatus,Staining,Uncertain
ENSG00000110448,,,APE,N/A
ENSG00000110455,Golgi apparatus,,Staining,Uncertain
ENSG00000110514,Plasma membrane,,Staining,Supportive
ENSG00000110583,Nucleus,,Staining,Uncertain
ENSG00000110619,Cytoplasm,,APE,High
ENSG00000110651,Plasma membrane;Cytoplasm,,APE,Medium
ENSG00000110665,Nucleus,Focal Adhesions,Staining,Non-supportive
ENSG00000110675,Nucleus but not nucleoli;Cytoplasm,,APE,High
ENSG00000110693,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000110696,,,Staining,Uncertain
ENSG00000110700,Nucleus,,Staining,Uncertain
ENSG00000110711,Nucleus but not nucleoli;Cytoplasm,,Staining,Supportive
ENSG00000110717,Mitochondria,,Staining,Supportive
ENSG00000110719,Mitochondria,,Staining,Uncertain
ENSG00000110721,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000110756,,,Staining,Uncertain
ENSG00000110786,Cytoplasm,Nucleus but not nucleoli;Plasma membrane,Staining,Uncertain
ENSG00000110799,Nucleus;Nucleoli,,Staining,Uncertain
ENSG00000110811,Plasma membrane;Cytoplasm,Nucleoli;Cell Junctions,Staining,Uncertain
ENSG00000110841,Plasma membrane;Cytoplasm,,Staining,Uncertain
ENSG00000110844,Nucleus,Plasma membrane;Cytoplasm,APE,Very low
ENSG00000110848,,,Staining,Uncertain
ENSG00000110851,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000110852,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000110876,,,Staining,Uncertain
ENSG00000110880,Nuclear membrane;Cytoplasm,,Staining,Uncertain
ENSG00000110887,Nuclear membrane,,APE,Very low
ENSG00000110888,Nucleus;Cytoplasm,Centrosome,Staining,Uncertain
ENSG00000110906,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000110911,Mitochondria,,APE,Very low
ENSG00000110921,Cytoplasm,,Staining,Supportive
ENSG00000110925,Cytoplasm,,Staining,Uncertain
ENSG00000110931,Cytoplasm,,Staining,Supportive
ENSG00000110944,Cytoplasm,,Staining,Uncertain
ENSG00000110955,Mitochondria,,APE,High
ENSG00000110958,Cytoplasm,Nucleus but not nucleoli,Staining,Supportive
ENSG00000111011,Nucleus,Nucleoli;Centrosome,Staining,Uncertain
ENSG00000111049,,,Staining,Uncertain
ENSG00000111057,Cytoplasm,,Staining,Supportive
ENSG00000111077,Cytoplasm,Nucleus but not nucleoli,Staining,Non-supportive
ENSG00000111142,Cytoplasm,,Staining,Uncertain
ENSG00000111144,Cytoplasm,Nucleus but not nucleoli,APE,Low
ENSG00000111145,Nucleus but not nucleoli,Mitochondria;Vesicles,Staining,Supportive
ENSG00000111199,Nucleus,,Staining,Non-supportive
ENSG00000111203,Cytoplasm;Endoplasmic reticulum,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000111206,Nucleus but not nucleoli,Cytoplasm;Vesicles,APE,Low
ENSG00000111215,Cytoplasm;Vesicles,,Staining,Uncertain
ENSG00000111218,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000111224,Nucleus;Cytoplasm,,Staining,Uncertain
ENSG00000111229,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000111237,Cytoplasm;Vesicles,,Staining,Uncertain
ENSG00000111245,Cytoskeleton (Microtubules),Cytoplasm,Staining,Uncertain
ENSG00000111249,Nucleoli,,Staining,Uncertain
ENSG00000111252,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000111254,Vesicles,Plasma membrane;Cytoplasm;Golgi apparatus,Staining,Uncertain
ENSG00000111261,Golgi apparatus;Vesicles,Cytoplasm,APE,Medium
ENSG00000111266,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000111269,Mitochondria,Nucleus but not nucleoli;Cytoplasm,Staining,Uncertain
ENSG00000111300,Cytoplasm,Nucleus but not nucleoli;Golgi apparatus,Staining,Uncertain
ENSG00000111319,Vesicles,,APE,Low
ENSG00000111331,Cytoplasm,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000111339,,,Staining,Uncertain
ENSG00000111341,Nucleus,Cytoplasm,Staining,Uncertain
ENSG00000111404,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000111405,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000111412,Nucleus but not nucleoli;Cytoskeleton (Intermediate filaments),Cytoplasm,Staining,Uncertain
ENSG00000111432,Nucleus but not nucleoli,,APE,Medium
ENSG00000111445,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000111452,Nucleus,Cytoplasm,Staining,Uncertain
ENSG00000111490,Plasma membrane;Cytoplasm,,APE,Low
ENSG00000111554,Nucleus but not nucleoli,Cytoplasm;Centrosome,APE,Very low
ENSG00000111581,Cytoplasm,,Staining,Non-supportive
ENSG00000111605,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000111615,Nucleoli,Nucleus,Staining,Supportive
ENSG00000111639,Cytoplasm,,Staining,Uncertain
ENSG00000111641,Nucleoli,Nucleus,Staining,Supportive
ENSG00000111642,Nucleus,,Staining,Supportive
ENSG00000111644,Nucleus but not nucleoli;Vesicles,,Staining,Uncertain
ENSG00000111647,Plasma membrane,,APE,Low
ENSG00000111652,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000111664,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000111665,Cytoplasm,,Staining,Uncertain
ENSG00000111667,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000111676,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000111679,Nucleus,Cytoplasm,Staining,Supportive
ENSG00000111696,Mitochondria,Cytoplasm,Staining,Uncertain
ENSG00000111700,Cytoplasm,,Staining,Supportive
ENSG00000111713,Cytoplasm,Plasma membrane,Staining,Uncertain
ENSG00000111725,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000111726,Cytoplasm,Nucleoli,Staining,Uncertain
ENSG00000111728,Nucleoli,,Staining,Uncertain
ENSG00000111729,Cytoplasm,,Staining,Uncertain
ENSG00000111731,,,Staining,Uncertain
ENSG00000111752,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000111790,Mitochondria,,Staining,Uncertain
ENSG00000111796,Nucleus but not nucleoli;Cytoplasm,,Staining,Non-supportive
ENSG00000111799,Nucleus,,Staining,Uncertain
ENSG00000111801,Nucleoli;Cytoplasm,Plasma membrane;Golgi apparatus,Staining,Uncertain
ENSG00000111817,Nucleus but not nucleoli;Cytoplasm,,Staining,Non-supportive
ENSG00000111832,Cytoplasm,,Staining,Uncertain
ENSG00000111834,Nucleus,,APE,Medium
ENSG00000111837,Nucleus;Cytoplasm,Nuclear membrane,Staining,Uncertain
ENSG00000111845,Nucleus but not nucleoli,Plasma membrane,Staining,Supportive
ENSG00000111846,,,Staining,Uncertain
ENSG00000111860,Cytoplasm,,APE,Low
ENSG00000111877,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000111880,,,Staining,Uncertain
ENSG00000111886,Nucleus but not nucleoli,Cytoplasm,Staining,Non-supportive
ENSG00000111897,Cytoplasm,,Staining,Uncertain
ENSG00000111906,Nucleoli,Nucleus,Staining,Uncertain
ENSG00000111907,Cytoplasm;Cell Junctions,Golgi apparatus;Vesicles,Staining,Uncertain
ENSG00000111911,Mitochondria,Nucleoli;Cytoplasm,Staining,Supportive
ENSG00000111912,Cytoplasm,,APE,Low
ENSG00000111913,Nucleus;Vesicles,Nucleoli,Staining,Non-supportive
ENSG00000111961,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000111962,Mitochondria,,Staining,Uncertain
ENSG00000111981,Cytoskeleton (Intermediate filaments),Aggresome,Staining,Non-supportive
ENSG00000112029,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000112031,,,Staining,Uncertain
ENSG00000112038,Cytoplasm,,Staining,Non-supportive
ENSG00000112053,Plasma membrane;Cytoplasm,,APE,Low
ENSG00000112062,Vesicles,Nucleus but not nucleoli;Cytoplasm;Golgi apparatus,Staining,Uncertain
ENSG00000112078,Endoplasmic reticulum,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000112079,Nucleus but not nucleoli,Plasma membrane;Cytoplasm;Vesicles,Staining,Supportive
ENSG00000112096,Cytoplasm,Nucleus;Golgi apparatus,Staining,Non-supportive
ENSG00000112110,Nucleus but not nucleoli;Cytoskeleton (Microtubules),,APE,Very low
ENSG00000112118,Nucleus but not nucleoli,Vesicles;Centrosome,APE,Medium
ENSG00000112137,Cytoplasm,,APE,High
ENSG00000112139,Vesicles,,Staining,Uncertain
ENSG00000112144,Vesicles,,Staining,Supportive
ENSG00000112149,,,Staining,Uncertain
ENSG00000112159,Nucleus;Nucleoli;Cytoplasm,,APE,Low
ENSG00000112167,Vesicles,,Staining,Uncertain
ENSG00000112200,Cytoplasm,Plasma membrane,Staining,Uncertain
ENSG00000112210,Plasma membrane;Cytoplasm,Centrosome,APE,Medium
ENSG00000112214,Vesicles,,Staining,Uncertain
ENSG00000112218,Nucleus;Cytoplasm,Plasma membrane,Staining,Uncertain
ENSG00000112232,Nucleus but not nucleoli;Cytoplasm,Plasma membrane;Centrosome,Staining,Uncertain
ENSG00000112234,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000112245,Mitochondria,,Staining,Non-supportive
ENSG00000112246,Golgi apparatus;Vesicles,Nucleus,Staining,Uncertain
ENSG00000112249,Cytoplasm,Plasma membrane;Golgi apparatus,APE,Medium
ENSG00000112276,Cytoplasm,Nucleus but not nucleoli,APE,Very low
ENSG00000112290,Mitochondria,,Staining,Supportive
ENSG00000112293,Cytoplasm,,Staining,Uncertain
ENSG00000112294,Mitochondria,,Staining,Supportive
ENSG00000112304,Cell Junctions,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000112305,Cytoplasm,Plasma membrane;Golgi apparatus,Staining,Uncertain
ENSG00000112306,,,Staining,Uncertain
ENSG00000112308,Cytoplasm,,Staining,Uncertain
ENSG00000112309,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000112319,Cytoplasm,Centrosome,APE,Low
ENSG00000112320,Nucleus but not nucleoli;Vesicles,,Staining,Uncertain
ENSG00000112333,Nucleus,,Staining,Uncertain
ENSG00000112335,Cytoplasm;Vesicles,,Staining,Uncertain
ENSG00000112337,Nucleus;Nucleoli,,Staining,Uncertain
ENSG00000112339,Nucleus;Cytoplasm,,APE,Low
ENSG00000112343,Centrosome,Plasma membrane;Cell Junctions,Staining,Uncertain
ENSG00000112378,Plasma membrane;Cell Junctions,Nucleus but not nucleoli;Cytoplasm;Golgi apparatus,Staining,Supportive
ENSG00000112379,,,APE,N/A
ENSG00000112394,,,Staining,Uncertain
ENSG00000112406,,,Staining,Uncertain
ENSG00000112414,Nucleus but not nucleoli;Cytoplasm,,Staining,Non-supportive
ENSG00000112419,Nucleus,Nucleoli;Plasma membrane;Golgi apparatus,APE,Very low
ENSG00000112486,Golgi apparatus,,Staining,Non-supportive
ENSG00000112494,Cytoplasm,Mitochondria,Staining,Non-supportive
ENSG00000112499,Plasma membrane,,Staining,Supportive
ENSG00000112511,Nucleus,,Staining,Uncertain
ENSG00000112531,Nucleus but not nucleoli,Plasma membrane,Staining,Supportive
ENSG00000112539,Mitochondria,,Staining,Uncertain
ENSG00000112562,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000112578,Nucleoli,Nucleus,APE,High
ENSG00000112584,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000112599,Cytoplasm,,Staining,Non-supportive
ENSG00000112619,Nucleoli,Nucleus,Staining,Uncertain
ENSG00000112624,Nucleus but not nucleoli,,APE,Medium
ENSG00000112640,Nucleus but not nucleoli;Cytoplasm,,APE,Low
ENSG00000112651,Mitochondria,Cytoplasm,Staining,Uncertain
ENSG00000112655,Cytoplasm,,Staining,Uncertain
ENSG00000112658,Nucleus but not nucleoli;Endoplasmic reticulum,Cytoplasm,Staining,Supportive
ENSG00000112659,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000112667,Nucleus but not nucleoli,Cytoplasm,APE,Low
ENSG00000112679,Nucleus but not nucleoli;Vesicles,,Staining,Uncertain
ENSG00000112685,Vesicles,,Staining,Uncertain
ENSG00000112697,Mitochondria,,Staining,Uncertain
ENSG00000112699,Cytoplasm,,Staining,Uncertain
ENSG00000112701,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000112739,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000112759,Nucleus,Cytoplasm,APE,High
ENSG00000112763,Plasma membrane,,Staining,Uncertain
ENSG00000112769,Cytoplasm;Focal Adhesions,Plasma membrane,Staining,Uncertain
ENSG00000112796,,,Staining,Uncertain
ENSG00000112818,,,Staining,Uncertain
ENSG00000112837,Cytoplasm;Golgi apparatus;Centrosome,Plasma membrane,Staining,Uncertain
ENSG00000112855,Cytoplasm,,Staining,Uncertain
ENSG00000112893,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000112902,Vesicles,,Staining,Uncertain
ENSG00000112936,Vesicles,Cytoplasm,Staining,Uncertain
ENSG00000112972,Plasma membrane,Nucleus;Cytoplasm,Staining,Uncertain
ENSG00000112977,Mitochondria;Vesicles,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000112981,Plasma membrane;Cytoplasm,,Staining,Uncertain
ENSG00000112983,Nucleus but not nucleoli;Mitochondria,,Staining,Supportive
ENSG00000112984,Nucleus but not nucleoli,Mitochondria,APE,Low
ENSG00000112996,Nucleus but not nucleoli,Cytoplasm,APE,Medium
ENSG00000113013,Mitochondria,,Staining,Supportive
ENSG00000113068,Plasma membrane;Cytoplasm,Nucleoli,Staining,Uncertain
ENSG00000113100,Cytoplasm;Golgi apparatus,,Staining,Uncertain
ENSG00000113108,Cytoplasm;Cytoskeleton (Actin filaments),,Staining,Supportive
ENSG00000113119,Mitochondria,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000113140,Mitochondria,,APE,Very low
ENSG00000113141,Cytoplasm,Mitochondria,Staining,Non-supportive
ENSG00000113161,Nucleus;Cytoplasm;Mitochondria,,Staining,Non-supportive
ENSG00000113163,Golgi apparatus,Nucleus but not nucleoli,Staining,Supportive
ENSG00000113196,Nucleus;Nuclear membrane,,Staining,Uncertain
ENSG00000113209,Nucleus,,Staining,Uncertain
ENSG00000113211,Nucleus but not nucleoli,Plasma membrane;Cytoplasm,Staining,Uncertain
ENSG00000113231,Centrosome,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000113248,Nucleus but not nucleoli;Centrosome,,Staining,Non-supportive
ENSG00000113269,Nucleus;Cytoplasm,,Staining,Supportive
ENSG00000113272,Nucleus but not nucleoli,,APE,Very low
ENSG00000113273,Golgi apparatus;Vesicles,,Staining,Uncertain
ENSG00000113300,Cytoplasm,,Staining,Uncertain
ENSG00000113302,Cytoplasm,Mitochondria,Staining,Uncertain
ENSG00000113318,Nucleus,,APE,Medium
ENSG00000113319,Cytoplasm,,Staining,Supportive
ENSG00000113361,Nucleus but not nucleoli;Plasma membrane;Cytoplasm,,APE,Medium
ENSG00000113384,Nuclear membrane;Cytoplasm,Plasma membrane,Staining,Supportive
ENSG00000113387,Nucleus,Nucleoli,Staining,Supportive
ENSG00000113389,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000113391,Nucleus but not nucleoli,Cytoplasm;Endoplasmic reticulum,Staining,Uncertain
ENSG00000113407,Cytoplasm,Cytoskeleton (Actin filaments),Staining,Supportive
ENSG00000113448,Nuclear membrane;Cytoplasm,,Staining,Uncertain
ENSG00000113460,Nucleoli,Nucleus,Staining,Supportive
ENSG00000113492,Nucleus,,Staining,Uncertain
ENSG00000113504,Cytoplasm,,Staining,Uncertain
ENSG00000113552,Vesicles,Golgi apparatus,Staining,Uncertain
ENSG00000113569,Nuclear membrane,,APE,Medium
ENSG00000113578,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000113580,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000113583,Nucleus,,Staining,Uncertain
ENSG00000113593,Nucleus,,Staining,Supportive
ENSG00000113594,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000113595,Plasma membrane;Cytoskeleton (Actin filaments),Nucleus but not nucleoli,Staining,Non-supportive
ENSG00000113597,Nucleus,Plasma membrane,Staining,Uncertain
ENSG00000113600,Plasma membrane,Cytoplasm;Mitochondria,Staining,Uncertain
ENSG00000113615,Nucleoli,Nucleus,Staining,Non-supportive
ENSG00000113621,Golgi apparatus,,Staining,Uncertain
ENSG00000113638,Nucleus but not nucleoli,Golgi apparatus;Vesicles,APE,Low
ENSG00000113643,Cytoplasm,Nucleus but not nucleoli,APE,High
ENSG00000113645,Golgi apparatus,,Staining,Supportive
ENSG00000113648,,,Staining,Uncertain
ENSG00000113657,Cytoplasm,Cytoskeleton (Microtubules),Staining,Uncertain
ENSG00000113716,Nucleoli,,Staining,Uncertain
ENSG00000113719,Nucleus but not nucleoli;Vesicles,,APE,Medium
ENSG00000113721,Vesicles,,APE,Low
ENSG00000113734,Nucleus;Cytoplasm,Golgi apparatus,Staining,Non-supportive
ENSG00000113739,Endoplasmic reticulum,,Staining,Uncertain
ENSG00000113742,Nucleus but not nucleoli;Golgi apparatus;Vesicles,,APE,Low
ENSG00000113749,,,Staining,Uncertain
ENSG00000113761,Nucleus,,Staining,Supportive
ENSG00000113790,Cytoplasm;Vesicles,Nucleus but not nucleoli,Staining,Supportive
ENSG00000113805,Cytoskeleton (Microtubules),Nucleoli,Staining,Uncertain
ENSG00000113810,Nucleus but not nucleoli;Cytoplasm,,APE,Medium
ENSG00000113811,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000113889,Nucleus,Nucleoli;Centrosome,APE,Very low
ENSG00000113916,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000113946,,,Staining,Uncertain
ENSG00000113966,Nucleus but not nucleoli;Plasma membrane;Cytoplasm;Cytoskeleton (Microtubules),,Staining,Uncertain
ENSG00000113971,Nucleoli,,Staining,Uncertain
ENSG00000114013,Cytoplasm,,Staining,Uncertain
ENSG00000114021,Cytoplasm,Centrosome,Staining,Supportive
ENSG00000114023,Mitochondria,Nucleus;Cytoplasm,Staining,Uncertain
ENSG00000114026,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000114054,Nucleus,,APE,Very low
ENSG00000114062,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000114098,Mitochondria,,Staining,Uncertain
ENSG00000114107,Nucleus but not nucleoli;Cytoplasm,,APE,Very low
ENSG00000114113,Golgi apparatus,,Staining,Supportive
ENSG00000114120,Cytoplasm;Mitochondria,Nucleus;Nucleus but not nucleoli,Staining,Uncertain
ENSG00000114124,,,Staining,Uncertain
ENSG00000114125,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000114127,Plasma membrane;Cytoplasm,Golgi apparatus;Cytoskeleton (Intermediate filaments),Staining,Supportive
ENSG00000114200,,,Staining,Uncertain
ENSG00000114204,Mitochondria,,Staining,Uncertain
ENSG00000114209,,,Staining,Uncertain
ENSG00000114248,Nucleus,,Staining,Uncertain
ENSG00000114316,Plasma membrane;Vesicles,Cell Junctions,Staining,Uncertain
ENSG00000114331,Nucleoli,Plasma membrane,Staining,Uncertain
ENSG00000114353,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000114354,Vesicles,Cytoplasm,Staining,Uncertain
ENSG00000114378,Cytoplasm,,Staining,Supportive
ENSG00000114383,Cytoplasm,Vesicles,Staining,Uncertain
ENSG00000114388,Cytoplasm,,APE,High
ENSG00000114395,Cytoplasm;Cytoskeleton (Intermediate filaments),,Staining,Uncertain
ENSG00000114416,Cytoplasm,,Staining,Supportive
ENSG00000114423,Cytoplasm,Nucleus but not nucleoli,Staining,Supportive
ENSG00000114446,Nucleus but not nucleoli;Cytoplasm,,Staining,Non-supportive
ENSG00000114455,Cytoplasm,,Staining,Uncertain
ENSG00000114473,Cytoplasm,Vesicles;Cytoskeleton (Actin filaments),Staining,Uncertain
ENSG00000114480,Nucleus but not nucleoli,Cytoplasm,APE,Low
ENSG00000114487,Nucleus but not nucleoli;Mitochondria,Cytoplasm,Staining,Uncertain
ENSG00000114491,Cytoplasm,,Staining,Uncertain
ENSG00000114503,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000114529,Nucleus but not nucleoli;Cytoplasm;Mitochondria,,APE,Very low
ENSG00000114541,Golgi apparatus;Centrosome,Nucleus;Nucleoli;Cytoplasm,Staining,Uncertain
ENSG00000114554,Cytoplasm,Nucleus,Staining,Uncertain
ENSG00000114626,Cytoplasm,Nucleoli;Plasma membrane,APE,Medium
ENSG00000114638,Nucleus,Cytoplasm,APE,Low
ENSG00000114648,Cytoplasm,,APE,Low
ENSG00000114650,,,Staining,Uncertain
ENSG00000114670,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000114698,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000114735,Nucleus;Cytoplasm,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000114742,Vesicles,,Staining,Supportive
ENSG00000114744,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000114767,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000114771,Cytoplasm,,Staining,Uncertain
ENSG00000114779,Nucleoli,Nucleus;Cytoplasm,APE,Medium
ENSG00000114790,Nucleus,,Staining,Non-supportive
ENSG00000114805,Vesicles,Nuclear membrane,Staining,Supportive
ENSG00000114812,Nucleus but not nucleoli;Cytoplasm,Plasma membrane,Staining,Supportive
ENSG00000114841,Nuclear membrane,Cytoplasm,Staining,Uncertain
ENSG00000114850,Cytoplasm,,Staining,Uncertain
ENSG00000114857,Nucleus but not nucleoli;Cytoplasm,Plasma membrane;Mitochondria,Staining,Uncertain
ENSG00000114859,,,APE,N/A
ENSG00000114861,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000114867,Cytoplasm,,Staining,Uncertain
ENSG00000114904,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000114923,Nucleus,,Staining,Uncertain
ENSG00000114956,Focal Adhesions,Cytoskeleton (Actin filaments),Staining,Non-supportive
ENSG00000114982,Cytoplasm,Vesicles;Cytoskeleton (Intermediate filaments),Staining,Uncertain
ENSG00000114988,Nucleus but not nucleoli,Cytoplasm,Staining,Non-supportive
ENSG00000114993,Mitochondria,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000115020,Nucleus,,Staining,Non-supportive
ENSG00000115042,,,Staining,Uncertain
ENSG00000115053,Nucleus;Nucleoli,,Staining,Supportive
ENSG00000115085,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000115112,Nucleoli,Mitochondria,Staining,Supportive
ENSG00000115128,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000115129,Vesicles,,APE,Low
ENSG00000115145,Nucleus but not nucleoli;Cytoplasm;Vesicles,,APE,Medium
ENSG00000115155,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000115159,Nucleus,Cytoplasm,Staining,Non-supportive
ENSG00000115165,Cytoplasm,,Staining,Supportive
ENSG00000115170,Nucleus;Cytoplasm,,Staining,Uncertain
ENSG00000115183,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000115207,Focal Adhesions,,Staining,Non-supportive
ENSG00000115216,Plasma membrane;Cytoplasm;Mitochondria,Nucleus but not nucleoli;Cytoskeleton (Intermediate filaments),Staining,Uncertain
ENSG00000115233,Nucleus but not nucleoli;Vesicles,Cytoplasm,Staining,Uncertain
ENSG00000115234,Vesicles,Cytoplasm,Staining,Supportive
ENSG00000115239,Cytoplasm,,Staining,Uncertain
ENSG00000115241,Nucleus but not nucleoli,,APE,High
ENSG00000115252,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000115255,Cytoskeleton (Intermediate filaments),Nucleus but not nucleoli,Staining,Non-supportive
ENSG00000115257,,,Staining,Uncertain
ENSG00000115267,Cytoplasm,,Staining,Supportive
ENSG00000115271,Cytoplasm,Plasma membrane,APE,Medium
